ID,Source if not TB,module,ch,Topic,2019midterm,2019_101_mock,label,Question text,latex,advanced variation,Alternate,Original (if changed),Answer,Extended answer,solution hints,Exam/practice,Difficulty,Share correct 2024,Share correct 101,2016_May_exam,2016_practice,2016_resit,2017_midterm,101midterm_2017,2017_practicemidterm,2017_101_practice_midterm,final_2017,101_final_2017,2017_resit,2017_resit_101,2018_midterm,101midterm_2018,2018_final,2018_final_101,2018_resit_101,Comments_DR,2019 mock midterm
,Own,"beem101,bee2024",1,Economic models,,,tf_empiricalmath,"\question[1] True or false: Empirical research in economics uses more pure mathematics than does theoretical research in microeconomics.
","
\begin{minipage}{\linewidth}
\question[2] True or false: Empirical research in economics uses more pure mathematics than does theoretical research in microeconomics.
\begin{enumerate}[label=(\alph*)]
\item True
\item False
\end{enumerate}
\begin{solution}
False.
\end{solution}
\end{minipage}
",,,,F,,,,3,65.1%,83.3%,,,,,1,1,,,,,,,,,,,,
,,"beem101,bee2024",1,Economic models,,,tf_simplifyingasns,"\question[1] True or false: Economic models that rely on simplifying assumptions are useless.
\begin{enumerate}[label=(\alph*)]
\item True
\item False
\end{enumerate}
\begin{solution}
False.
\end{solution}","\question[1] True or false: Economic models that rely on simplifying assumptions are useless.
\begin{enumerate}[label=(\alph*)]
\item True
\item False
\end{enumerate}
\begin{solution}
False.
\end{solution}",,,,F,"All models are simplifications, and models can help us powerfully illustrate ideas, and make predictions that may be useful.
Simplifications may help us understand the mechanisms and play in the economy and for individual and strategic decision-making.
Many simplifications are plausibly 'without loss of generality'; a model could be constructed that incorporates complications but generates very similar results without as clear insight.
All models are simplifications, and models can help us powerfully illustrate ideas, and make predictions that may be useful.
Simplifications may help us understand the mechanisms and play in the economy and for individual and strategic decision-making.
Many simplifications are plausibly 'without loss of generality'; a model could be constructed that incorporates complications but generates very similar results without as clear insight.
",,,2,0.987,,,,,1,,,1,,,,,,,,,,,
1.2,,"beem101,bee2024",1,Economic models,,,,"The slope of the production possibility frontier shows
  a.  how inputs must be changed to keep them fully employed.
  b.  how demanders are willing to trade one good for another.
  c.  the opportunity cost of one good in terms of the other. D. the returns to scale",,,,"3. The slope of the production possibility frontier shows
  a.  how inputs must be changed to keep them fully employed.
  b.  the technically efficient combinations of the two goods.
  c.  how demanders are willing to trade one good for another.
  d.  the opportunity cost of one good in terms of the other.",c,,,E,4,,,,,,1,,,1,,,,,,,,,,,
,,"beem101,bee2024",1,Economic models,,,,"\question[1] One example of microdata is a set of over 5 million observations of income, hours worked, and demographic information from over 1 million households' tax returns over five years.
\begin{enumerate}[label=(\alph*)]
\item True
\item False
\end{enumerate}
\begin{solution}
True.
\end{solution}","\question[1] One example of microdata is a set of over 5 million observations of income, hours worked, and demographic information from over 1 million households' tax returns over five years.
\begin{enumerate}[label=(\alph*)]
\item True
\item False
\end{enumerate}
\begin{solution}
True.
\end{solution}",,,,T,"True. Microdata refers to the level of the unit of observation; the economic decision-maker, such as an individual or household, rather than an aggregation, such as an entire country or market.",,,2,65.12%,66.70%,,,,1,1,,,,,,,,,,,,,
microdata_chooseall,,"beem101,bee2024",1,Economic models,,,,"\question[2] The following represent examples of microdata (choose all that are correct)
\begin{enumerate}[label=(\alph*)]
\item A set of over 50 million observations of supermarket purchases from 1 million shopping trips made by 500,000 individuals, including prices, quantities, dates, and sale information.
\item The monthly national unemployment rate for all OECD countries over a period of 40 years
\item Data from the Understanding Society panel, which reports responses on a large variety of economic and social measures from each of  40,000 UK households who are interviewed/surveyed yearly
\item A spreadsheet revealing the average income of Exeter graduates for the years 1990-2001
\item The hour-to-hour dollar-sterling exchange rates for the week of 1 January 2010
\end{enumerate}
\begin{solution}
A (the supermarket scanner data) and C (Understanding society panel). These are observations at the individual level; the other measures have been aggregated (in this case, averaged) to represent a larger population, or represent the outcome of market forces for entire economics (the exchange rates)
\end{solution}
","\question[2] The following represent examples of microdata (choose all that are correct)
\begin{enumerate}[label=(\alph*)]
\item A set of over 50 million observations of supermarket purchases from 1 million shopping trips made by 500,000 individuals, including prices, quantities, dates, and sale information.
\item The monthly national unemployment rate for all OECD countries over a period of 40 years
\item Data from the Understanding Society panel, which reports responses on a large variety of economic and social measures from each of  40,000 UK households who are interviewed/surveyed yearly
\item A spreadsheet revealing the average income of Exeter graduates for the years 1990-2001
\item The hour-to-hour dollar-sterling exchange rates for the week of 1 January 2010
\end{enumerate}
\begin{solution}
A (the supermarket scanner data) and C (Understanding society panel). These are observations at the individual level; the other measures have been aggregated (in this case, averaged) to represent a larger population, or represent the outcome of market forces for entire economics (the exchange rates)
\end{solution}
",,,,"A (the supermarket scanner data) and C (Understanding society panel). These are observations at the individual level; the other measures have been aggregated (in this case, averaged) to represent a larger population, or represent the outcome of market forces for entire economics (the exchange rates)
",,,,7,,,,,,,,,,,,,,1,,,,,,
,,"beem101,bee2024",1,Economic models,,,estdemandsuppl_chooseall,"\question[2] Suppose I observe the prices and total quantities of coffee traded in a market from the years 1990-2010. Suppose I plot a line through these points (e.g., a line that minimises the sum of squared distances between the line and these points. This line (choose all that are correct):
\begin{enumerate}[label=(\alph*)]
\item Is a reasonable estimate of the supply curve for coffee even if the supply and demand curve were both shifting during this period
\item Is a reasonable estimate of the demand curve for coffee even if the supply and demand curve were both shifting during this period

\item Is a reasonable estimate of the demand curve for coffee if this represents a period in which the demand curve was constant and the supply curve was shifting
\item Is a reasonable estimate of the supply curve for coffee if this represents a period in which the supply curve was constant and the demand curve was shifting
\item Is a reasonable estimate of the demand curve for coffee if there is only a single firm supplying coffee, and this firm has been randomly allocating prices each year, during  a period in which the demand curve was constant
\end{enumerate}
\begin{solution}
The three 'longest answers' are all correct. If both supply and demand are shifting, we cannot identify either from this series of points.
\end{solution}","\question[2] True or false: Suppose I observe the prices and total quantities of coffee traded in a market from the years 1990-2010. Suppose I plot a line through these points (e.g., a line that minimises the sum of squared distances between the line and these points. This line (choose all that are correct):
\begin{enumerate}[label=(\alph*)]
\item Is a reasonable estimate of the supply curve for coffee even if the supply and demand curve were both shifting during this period
\item Is a reasonable estimate of the demand curve for coffee even if the supply and demand curve were both shifting during this period

\item Is a reasonable estimate of the demand curve for coffee if this represents a period in which the demand curve was constant and the supply curve was shifting
\item Is a reasonable estimate of the supply curve for coffee if this represents a period in which the supply curve was constant and the demand curve was shifting
\item Is a reasonable estimate of the demand curve for coffee if there is only a single firm supplying coffee, and this firm has been randomly allocating prices each year, during  a period in which the demand curve was constant
\end{enumerate}
\begin{solution}
The three 'longest answers' are all correct. If both supply and demand are shifting, we cannot identify either from this series of points.
\end{solution}",,,,,,,,,,,,,,,,,,,,,,1,,,,,,
,,"beem101,bee2024",1,Economic models,,,,"True or false:  Economists never make normative statements.
","\question[1] True or false:  Economists never make normative statements.
\begin{enumerate}[label=(\alph*)]
\item True
\item False
\end{enumerate}
\begin{solution}
False.
\end{solution}",,,,F,,,,4,92.28%,,,,,1,,,,,,,,,,,,,,
plotdemand,,"beem101,bee2024",1,Economic models,,,,True or false: It is valid to plot observed prices and quantities traded in a market and fit a line through them to estimate a market demand curve.,"\question[2] True or false: True or false: It is valid to plot observed prices and quantities traded in a market and fit a line through them to estimate a market demand curve.
\begin{enumerate}[label=(\alph*)]
\item True
\item False
\end{enumerate}
\begin{solution}
False.  ""If we plot prices and quantities traded in a market, we are be observing the interaction of shifts in supply and demand curve, so it is difficult to estimate either curve without further assumptions.
""
\end{solution}",,,,F,,,,≤,29.32%,42.86%,,,,1,1,,,,,,,,,,,,,
attenduni_causal,,"beem101,bee2024",1,Economic models,,,,"True or false: If people who attended university earn more than those who did not, this proves that university makes people more productive.
","\question[2] True or false: If people who attended university earn more than those who did not, this proves that university makes people more productive.
\begin{enumerate}[label=(\alph*)]
\item True
\item False
\end{enumerate}
\begin{solution}
False.
\end{solution}",,,,F,,,,,79.94%,66.67%,,,,1,1,,,,,,,,,,,,,
smith-hunt,,"beem101,bee2024",1,Economic models,,,,"\question[4] A simple idea attributed to Adam Smith is that if it takes twice as long to hunt a deer as a beaver, a deer should trade for two beavers in the marketplace.
Considering this, which of the following are valid critiques of the limitations of this as a model of the determination of price and quantity (select all that apply):
\begin{enumerate}[label=(\alph*)]
\item Hunters who have more beavers than deer would refuse to trade at these prices.
\item This alone does not tell us how many deers and beavers will be traded.
\item The amount of time it takes to hunt a deer versus a beaver may depend on how many have already been caught.
\item There are inputs into the production process other than labour which may affect the price.
\item No one would ever hunt beavers at these prices.
\end{enumerate}

\begin{solution}
b, c, and d are valid critiques.


b, c, and d are valid critiques. 

a. 'Hunters who have more beavers than deer would refuse to trade at these prices.' This is not true. If hunters need more of either good for their own consumption than they have hunted (e.g., suppose each are 'necessities'), they will trade these in the market. (Note that  given the implied 'production function' at these prices, the hunter couldn't do any better by reallocating her hours instead of trading.) Also, we can imagine this example in terms of prices in some baseline currency which could be used for other goods... the hunter may want to sell her kill to buy these other goods, and if these are the prices she faces, she will do so.


b. True, this *is* a limitation. The above claim only tells us about the relative price of these 2 goods, perhaps reflecting a supply curve, perhaps a demand curve, but it doesn't tell us the quantity exchanged. However many are traded, this statement only tells us at what 'rate' they are traded.

\

c.  Yes, there may be diminishing returns to labour (hunting) in each good as the stock of each animal is used up. This is an important part of the supply/demand model, implying an upwards sloping supply curve. If each deer is more and more (time) costly to hunt, only a higher price will induce hunters to supply more in aggregate.


d. True, there may be capital inputs (e.g., guns and ammo) and land inputs (the hunting grounds), as well as  transportation costs, fuel etc. E.g., it might be that it takes twice as long to hunt a deer as a beaver but it costs less in 'capital', as the cost of the ammunition and gun maintenance per additional deer is less than the cost of maintaining beaver traps per additional beaver (when using the optimal mix of inputs).


\end{solution}","
\question[4] A simple idea attributed to Adam Smith is that if it takes twice as long to hunt a deer as a beaver, a deer should trade for two beavers in the marketplace.
Considering this, which of the following are valid critiques of the limitations of this as a model of the determination of price and quantity (select all that apply):
\begin{enumerate}[label=(\alph*)]
\item Hunters who have more beavers than deer would refuse to trade at these prices.
\item This alone does not tell us how many deers and beavers will be traded.
\item The amount of time it takes to hunt a deer versus a beaver may depend on how many have already been caught.
\item There are inputs into the production process other than labour which may affect the price.
\item No one would ever hunt beavers at these prices.
\end{enumerate}

\begin{solution}
b, c, and d are valid critiques.
\end{solution}",,,,,,,,,54.94%,11.90%,,,,1,1,,,,,,,,,,,1,,checked
